name,lat,lon
Berlin,52.5167,13.3833
Hamburg,53.55,10.0
Frankfurt,50.1136,8.6797
Bremen,53.1153,8.7975
Stuttgart,48.7761,9.1775
Düsseldorf,51.2311,6.7724
Dortmund,51.5139,7.4653
Essen,51.4508,7.0131
Dresden,51.0493,13.7384
Leipzig,51.35,12.3833
Hannover,52.3744,9.7386
Duisburg,51.4322,6.7611
Bochum,51.4833,7.2167
Wuppertal,51.2667,7.1833
Bielefeld,52.0167,8.5333
Bonn,50.7339,7.0997
Münster,51.9625,7.6256
Karlsruhe,49.0167,8.4
Mannheim,49.4878,8.4661
Augsburg,48.3717,10.8983
Wiesbaden,50.0825,8.24
Mönchengladbach,51.2,6.4333
Gelsenkirchen,51.5167,7.1
Braunschweig,52.2692,10.5211
Kiel,54.3233,10.1394
Aachen,50.7762,6.0838
Chemnitz,50.8333,12.9167
Halle,51.4828,11.9697
Magdeburg,52.1278,11.6292
Krefeld,51.3333,6.5667
Newtownabbey,54.6778816,-5.9249199
Leicester,52.6362,-1.1331969
Reading,51.456659,-0.9696512
Newry,54.1775283,-6.337506
Purfleet,51.4867,0.2433
Liverpool,53.4071991,-2.99168
Worksop,53.3045372,-1.1028469453936067
